champ_name,champ_popularity,champ_top_4_percentage,champ_top_1_percentage,average_placement
Veigar,0.8,88.6,31.7,2.53
Silco,29.6,63.2,18.9,3.78
Galio,12.3,61.6,18.2,3.86
Jayce,25.3,61.1,18.2,3.89
Viktor,20.6,61.0,18.0,3.89
Kai'Sa,21.8,60.6,19.1,3.90
Jinx,27.4,59.6,16.5,3.98
Tahm Kench,18.2,58.9,19.4,3.98
Zeri,11.5,58.8,16.4,4.02
Orianna,26.0,55.7,14.9,4.19
Jhin,18.8,55.2,15.3,4.21
Nocturne,2.0,54.2,8.1,4.39
Kha'Zix,15.9,53.5,14.4,4.30
Alistar,8.6,53.5,13.4,4.30
Ashe,7.1,53.4,16.2,4.32
Renata Glasc,14.4,52.0,14.9,4.37
Ekko,28.0,51.9,12.1,4.42
Seraphine,20.0,51.8,12.7,4.40
Braum,32.3,51.7,12.7,4.41
Jarvan IV,11.5,51.7,10.0,4.45
Ahri,13.0,51.2,12.3,4.41
Cho'Gath,6.9,51.2,13.9,4.42
Talon,4.6,51.1,9.1,4.51
Kassadin,12.7,51.0,15.0,4.41
Zilean,15.4,50.9,12.6,4.45
Draven,9.2,50.9,11.1,4.47
Darius,8.1,50.8,14.8,4.44
Zyra,11.8,50.8,13.4,4.46
Camille,11.3,50.4,12.7,4.49
Blitzcrank,22.5,50.1,11.6,4.50
Sivir,14.6,50.1,9.6,4.53
Vi,23.0,50.1,13.3,4.48
Senna,14.8,49.9,12.4,4.49
Irelia,15.6,49.6,10.1,4.54
Morgana,16.8,49.5,12.5,4.52
Malzahar,18.7,49.2,12.7,4.51
Zac,18.0,48.8,13.6,4.55
Ezreal,11.0,48.2,10.8,4.60
Twitch,1.8,48.0,7.7,4.68
Rek'Sai,23.3,47.5,12.5,4.62
Syndra,8.7,47.5,9.5,4.66
Sejuani,17.6,47.5,12.6,4.63
Gnar,20.2,47.3,10.0,4.65
Leona,14.9,46.8,9.7,4.68
Tryndamere,6.6,46.7,10.3,4.69
Warwick,5.8,46.7,9.5,4.71
Swain,9.5,46.3,9.0,4.68
Lulu,6.7,46.2,11.4,4.68
Brand,5.5,45.9,8.7,4.73
Singed,7.5,45.9,10.2,4.74
Vex,13.4,45.1,9.4,4.74
Caitlyn,5.0,44.8,10.9,4.80
Ziggs,10.7,44.4,9.6,4.78
Lucian,8.8,44.1,8.8,4.82
Corki,6.3,41.5,9.3,4.93
Poppy,4.1,40.7,10.4,4.99
Quinn,5.3,39.9,9.4,5.14
Miss Fortune,5.5,39.4,11.2,5.17
Gangplank,5.0,35.5,8.7,5.36
Illaoi,5.1,33.1,11.6,5.50
